time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2020-05-01,16.7,9.2,4.1,2020-05-01,2020,5
2020-05-02,15.4,7.7,6.5,2020-05-02,2020,5
2020-05-03,14.5,6.5,0.4,2020-05-03,2020,5
2020-05-04,12.6,5.4,4.5,2020-05-04,2020,5
2020-05-05,11.9,3.3,0.7,2020-05-05,2020,5
2020-05-06,16.0,4.9,0.0,2020-05-06,2020,5
2020-05-07,15.8,5.8,0.0,2020-05-07,2020,5
2020-05-08,20.4,5.9,0.0,2020-05-08,2020,5
2020-05-09,21.8,7.7,0.0,2020-05-09,2020,5
2020-05-10,23.6,11.2,0.3,2020-05-10,2020,5
2020-05-11,15.4,3.2,7.8,2020-05-11,2020,5
2020-05-12,11.1,0.9,0.2,2020-05-12,2020,5
2020-05-13,13.5,5.3,0.7,2020-05-13,2020,5
2020-05-14,14.0,4.4,0.7,2020-05-14,2020,5
2020-05-15,14.6,1.5,0.0,2020-05-15,2020,5
2020-05-16,14.6,5.8,0.0,2020-05-16,2020,5
2020-05-17,17.5,9.1,0.0,2020-05-17,2020,5
2020-05-18,21.1,11.4,0.0,2020-05-18,2020,5
2020-05-19,18.6,10.6,0.0,2020-05-19,2020,5
2020-05-20,20.0,9.4,0.0,2020-05-20,2020,5
2020-05-21,19.9,6.9,0.0,2020-05-21,2020,5
2020-05-22,22.5,10.0,1.6,2020-05-22,2020,5
2020-05-23,19.0,11.1,5.7,2020-05-23,2020,5
2020-05-24,16.1,8.8,8.5,2020-05-24,2020,5
2020-05-25,13.9,9.1,1.1,2020-05-25,2020,5
2020-05-26,19.1,6.7,0.2,2020-05-26,2020,5
2020-05-27,20.8,5.9,0.9,2020-05-27,2020,5
2020-05-28,19.3,10.2,0.6,2020-05-28,2020,5
2020-05-29,19.5,7.2,0.0,2020-05-29,2020,5
2020-05-30,17.0,8.1,0.0,2020-05-30,2020,5
2020-05-31,21.4,10.3,0.0,2020-05-31,2020,5
2020-06-01,23.4,8.8,0.0,2020-06-01,2020,6
2020-06-02,26.4,10.4,0.0,2020-06-02,2020,6
2020-06-03,23.9,10.7,0.0,2020-06-03,2020,6
2020-06-04,24.6,13.3,3.4,2020-06-04,2020,6
2020-06-05,17.3,12.2,3.5,2020-06-05,2020,6
2020-06-06,18.4,8.8,0.8,2020-06-06,2020,6
2020-06-07,19.4,9.8,0.6,2020-06-07,2020,6
2020-06-08,20.4,8.9,0.0,2020-06-08,2020,6
2020-06-09,21.5,11.2,0.0,2020-06-09,2020,6
2020-06-10,21.5,11.4,0.1,2020-06-10,2020,6
2020-06-11,20.0,14.5,10.6,2020-06-11,2020,6
2020-06-12,26.1,13.2,1.0,2020-06-12,2020,6
2020-06-13,28.0,19.0,1.0,2020-06-13,2020,6
2020-06-14,24.4,17.2,4.4,2020-06-14,2020,6
2020-06-15,24.1,14.8,0.0,2020-06-15,2020,6
2020-06-16,25.5,12.4,0.0,2020-06-16,2020,6
2020-06-17,27.6,14.8,0.0,2020-06-17,2020,6
2020-06-18,25.7,16.4,0.1,2020-06-18,2020,6
2020-06-19,20.6,15.9,4.2,2020-06-19,2020,6
2020-06-20,19.3,15.4,7.9,2020-06-20,2020,6
2020-06-21,22.8,14.4,4.3,2020-06-21,2020,6
2020-06-22,25.1,11.6,0.0,2020-06-22,2020,6
2020-06-23,23.7,12.6,0.0,2020-06-23,2020,6
2020-06-24,24.6,12.6,0.0,2020-06-24,2020,6
2020-06-25,27.4,18.6,0.4,2020-06-25,2020,6
2020-06-26,27.2,17.4,7.0,2020-06-26,2020,6
2020-06-27,30.3,17.4,0.1,2020-06-27,2020,6
2020-06-28,28.9,18.9,1.5,2020-06-28,2020,6
2020-06-29,23.2,17.9,0.3,2020-06-29,2020,6
2020-06-30,22.9,15.2,0.0,2020-06-30,2020,6
2020-07-01,22.6,16.9,7.2,2020-07-01,2020,7
2020-07-02,22.9,15.9,1.0,2020-07-02,2020,7
2020-07-03,22.0,15.2,1.4,2020-07-03,2020,7
2020-07-04,25.0,14.9,1.9,2020-07-04,2020,7
2020-07-05,26.8,18.9,1.2,2020-07-05,2020,7
2020-07-06,20.2,14.3,0.7,2020-07-06,2020,7
2020-07-07,19.2,11.5,0.5,2020-07-07,2020,7
2020-07-08,17.8,12.4,0.4,2020-07-08,2020,7
2020-07-09,19.8,12.5,4.6,2020-07-09,2020,7
2020-07-10,25.1,12.9,9.6,2020-07-10,2020,7
2020-07-11,19.3,10.6,0.0,2020-07-11,2020,7
2020-07-12,19.7,10.0,0.0,2020-07-12,2020,7
2020-07-13,22.3,10.3,0.0,2020-07-13,2020,7
2020-07-14,27.0,12.1,0.0,2020-07-14,2020,7
2020-07-15,17.0,14.2,12.7,2020-07-15,2020,7
2020-07-16,20.0,12.4,2.5,2020-07-16,2020,7
2020-07-17,20.6,11.2,5.1,2020-07-17,2020,7
2020-07-18,25.4,13.5,0.0,2020-07-18,2020,7
2020-07-19,28.3,16.1,0.1,2020-07-19,2020,7
2020-07-20,24.7,15.4,2.8,2020-07-20,2020,7
2020-07-21,21.6,13.4,0.0,2020-07-21,2020,7
2020-07-22,21.2,11.1,0.3,2020-07-22,2020,7
2020-07-23,22.8,14.1,1.0,2020-07-23,2020,7
2020-07-24,27.6,13.3,0.0,2020-07-24,2020,7
2020-07-25,24.6,13.8,1.2,2020-07-25,2020,7
2020-07-26,23.5,16.8,3.2,2020-07-26,2020,7
2020-07-27,24.8,15.4,0.5,2020-07-27,2020,7
2020-07-28,27.2,18.3,0.5,2020-07-28,2020,7
2020-07-29,22.4,14.9,0.0,2020-07-29,2020,7
2020-07-30,23.1,12.1,0.1,2020-07-30,2020,7
2020-07-31,26.4,12.6,0.0,2020-07-31,2020,7
