District,Resilience_Score,Estimated_Change_Intensity,H3_Units,Change_Ratio,Change_Rank,Interpretation
Friedrichshain-Kreuzberg,0.18,14.8,28,0.5285714285714286,1,High Volatility
Mitte,0.15,15.2,53,0.2867924528301886,2,High Volatility
Neukölln,0.22,12.2,61,0.1999999999999999,3,Moderate
Tempelhof-Schöneberg,0.38,10.5,72,0.1458333333333333,4,Moderate
Pankow,0.74,11.8,140,0.0842857142857143,5,Stable
Lichtenberg,0.58,5.8,71,0.0816901408450704,6,Stable
Marzahn-Hellersdorf,0.61,6.1,84,0.0726190476190476,7,Stable
Charlottenburg-Wilmersdorf,0.49,4.9,87,0.0563218390804597,8,Stable
Spandau,0.88,5.0,124,0.0403225806451612,9,Stable
Reinickendorf,0.69,2.3,121,0.0190082644628099,10,Stable
Treptow-Köpenick,0.92,4.2,228,0.0184210526315789,11,Stable
Steglitz-Zehlendorf,0.85,1.5,140,0.0107142857142857,12,Stable
