datetime,station,core,component,period,value
2026-01-05T20:00:00+01:00,mc174,no2,no2_1h,1h,55.0
2026-01-05T19:00:00+01:00,mc174,no2,no2_1h,1h,54.0
2026-01-05T18:00:00+01:00,mc174,no2,no2_1h,1h,56.0
2026-01-05T17:00:00+01:00,mc174,no2,no2_1h,1h,57.0
2026-01-05T16:00:00+01:00,mc174,no2,no2_1h,1h,38.0
2026-01-05T15:00:00+01:00,mc174,no2,no2_1h,1h,36.0
2026-01-05T14:00:00+01:00,mc174,no2,no2_1h,1h,43.0
2026-01-05T13:00:00+01:00,mc174,no2,no2_1h,1h,32.0
2026-01-05T12:00:00+01:00,mc174,no2,no2_1h,1h,31.0
2026-01-05T11:00:00+01:00,mc174,no2,no2_1h,1h,30.0
2026-01-05T10:00:00+01:00,mc174,no2,no2_1h,1h,33.0
2026-01-05T09:00:00+01:00,mc174,no2,no2_1h,1h,36.0
2026-01-05T08:00:00+01:00,mc174,no2,no2_1h,1h,38.0
2026-01-05T07:00:00+01:00,mc174,no2,no2_1h,1h,24.0
2026-01-05T06:00:00+01:00,mc174,no2,no2_1h,1h,22.0
2026-01-05T05:00:00+01:00,mc174,no2,no2_1h,1h,18.0
2026-01-05T04:00:00+01:00,mc174,no2,no2_1h,1h,19.0
2026-01-05T03:00:00+01:00,mc174,no2,no2_1h,1h,19.0
2026-01-05T02:00:00+01:00,mc174,no2,no2_1h,1h,17.0
2026-01-05T01:00:00+01:00,mc174,no2,no2_1h,1h,18.0
2026-01-05T00:00:00+01:00,mc174,no2,no2_1h,1h,18.0
2026-01-04T23:00:00+01:00,mc174,no2,no2_1h,1h,21.0
2026-01-04T22:00:00+01:00,mc174,no2,no2_1h,1h,22.0
2026-01-04T21:00:00+01:00,mc174,no2,no2_1h,1h,23.0
