date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2020-05-01,8.0,5.0,14.0,5.0,21.0,63.0,0.4,1.0,0.2,0.0
2020-05-02,13.0,10.0,23.0,10.0,38.0,50.0,0.6,1.5,0.3,0.0
2020-05-03,15.0,11.0,20.0,6.0,28.0,56.0,0.4,0.8,0.3,1.0
2020-05-04,22.0,15.0,41.0,25.0,78.0,31.0,,,0.3,1.0
2020-05-05,11.0,6.0,26.0,10.0,41.0,58.0,0.5,1.9,0.2,0.0
2020-05-06,12.0,6.0,21.0,7.0,31.0,67.0,0.4,0.9,0.2,0.0
2020-05-07,23.0,15.0,36.0,15.0,59.0,56.0,0.7,1.7,0.3,1.0
2020-05-08,26.0,17.0,29.0,7.0,40.0,73.0,1.4,2.3,0.3,1.0
2020-05-09,19.0,12.0,31.0,9.0,46.0,66.0,0.7,2.0,0.3,1.0
2020-05-10,22.0,15.0,18.0,2.0,20.0,88.0,0.6,1.6,0.3,1.0
2020-05-11,11.0,7.0,16.0,3.0,20.0,54.0,0.3,0.7,0.2,0.0
2020-05-12,14.0,7.0,34.0,30.0,80.0,42.0,0.7,1.7,0.3,1.0
2020-05-13,17.0,10.0,36.0,22.0,70.0,52.0,0.7,1.9,0.3,1.0
2020-05-14,13.0,7.0,15.0,4.0,21.0,67.0,0.4,0.8,0.2,1.0
2020-05-15,16.0,8.0,30.0,14.0,51.0,63.0,0.6,1.4,0.3,0.0
2020-05-16,13.0,7.0,23.0,8.0,35.0,68.0,0.5,1.3,0.3,1.0
2020-05-17,11.0,7.0,17.0,5.0,24.0,71.0,0.5,1.3,0.2,1.0
2020-05-18,20.0,10.0,43.0,21.0,76.0,59.0,0.7,2.2,0.3,2.0
2020-05-19,21.0,12.0,32.0,17.0,57.0,55.0,,,0.3,1.0
2020-05-20,16.0,7.0,16.0,4.0,21.0,70.0,0.3,0.9,0.2,0.0
2020-05-21,14.0,8.0,13.0,3.0,18.0,77.0,0.4,1.0,0.2,2.0
2020-05-22,23.0,9.0,30.0,11.0,47.0,69.0,0.7,2.1,0.3,1.0
2020-05-23,22.0,13.0,21.0,7.0,32.0,60.0,0.5,1.6,0.2,1.0
2020-05-24,15.0,8.0,17.0,6.0,26.0,57.0,0.4,1.2,0.2,0.0
2020-05-25,14.0,9.0,20.0,8.0,32.0,48.0,0.3,0.9,0.2,0.0
2020-05-26,14.0,9.0,15.0,4.0,21.0,61.0,0.3,0.8,0.2,0.0
2020-05-27,19.0,10.0,36.0,19.0,65.0,59.0,0.8,2.1,0.3,1.0
2020-05-28,14.0,7.0,11.0,2.0,14.0,68.0,0.6,0.6,0.2,0.0
2020-05-29,12.0,6.0,14.0,3.0,18.0,68.0,0.2,0.7,0.2,3.0
2020-05-30,10.0,5.0,6.0,1.0,8.0,70.0,0.2,0.4,0.2,1.0
2020-05-31,13.0,6.0,5.0,0.0,5.0,68.0,0.2,0.4,0.2,0.0
2020-06-01,13.0,6.0,6.0,0.0,6.0,71.0,0.2,0.4,0.2,1.0
2020-06-02,18.0,6.0,18.0,5.0,25.0,66.0,0.3,1.0,0.2,
2020-06-03,18.0,7.0,19.0,7.0,29.0,71.0,0.4,1.2,0.2,
2020-06-04,25.0,12.0,37.0,16.0,60.0,63.0,0.6,2.0,0.3,
2020-06-05,16.0,10.0,29.0,19.0,58.0,56.0,0.5,1.5,0.3,
