date,postal_code,district,no2,pm10,aqi
2025-05-01,10115,Mitte,24.4,18.1,24
2025-05-01,10117,Friedrichshain-Kreuzberg,34.2,19.2,31
2025-05-01,10117,Friedrichshain-Kreuzberg,30.4,15.5,27
2025-05-01,10119,Mitte,28.2,16.3,26
2025-05-01,10119,Mitte,20.7,16.0,21
2025-05-01,10178,Friedrichshain-Kreuzberg,20.7,15.5,21
2025-05-01,10178,Friedrichshain-Kreuzberg,19.0,19.8,22
2025-05-01,10178,Friedrichshain-Kreuzberg,32.7,18.3,30
2025-05-01,10179,Friedrichshain-Kreuzberg,28.2,24.4,30
2025-05-01,10179,Friedrichshain-Kreuzberg,30.0,16.0,27
2025-05-01,10243,Friedrichshain-Kreuzberg,18.3,24.3,24
2025-05-01,10243,Friedrichshain-Kreuzberg,34.5,15.9,29
2025-05-01,10245,Friedrichshain-Kreuzberg,32.2,21.2,31
2025-05-01,10245,Friedrichshain-Kreuzberg,21.6,17.5,22
2025-05-01,10245,Friedrichshain-Kreuzberg,21.1,23.3,25
2025-05-01,10247,Friedrichshain-Kreuzberg,21.1,15.6,21
2025-05-01,10247,Friedrichshain-Kreuzberg,23.2,24.5,27
2025-05-01,10247,Friedrichshain-Kreuzberg,26.9,15.5,25
2025-05-01,10249,Friedrichshain-Kreuzberg,25.3,17.4,25
2025-05-01,10249,Friedrichshain-Kreuzberg,23.0,19.6,24
2025-05-01,10249,Friedrichshain-Kreuzberg,28.4,22.6,29
2025-05-01,10315,Lichtenberg,20.4,24.5,25
2025-05-01,10315,Lichtenberg,23.0,19.3,24
2025-05-01,10317,Friedrichshain-Kreuzberg,24.2,22.6,26
2025-05-01,10317,Friedrichshain-Kreuzberg,25.8,22.3,27
2025-05-01,10317,Friedrichshain-Kreuzberg,31.3,20.7,30
2025-05-01,10318,Lichtenberg,21.4,21.9,24
2025-05-01,10318,Lichtenberg,26.7,15.4,24
2025-05-01,10318,Lichtenberg,28.1,19.4,27
2025-05-01,10319,Lichtenberg,18.8,22.9,23
2025-05-01,10319,Lichtenberg,28.3,19.7,28
2025-05-01,10365,Friedrichshain-Kreuzberg,20.9,23.7,25
2025-05-01,10365,Friedrichshain-Kreuzberg,19.1,23.3,24
2025-05-01,10367,Friedrichshain-Kreuzberg,34.1,23.6,33
2025-05-01,10367,Friedrichshain-Kreuzberg,34.4,16.3,30
2025-05-01,10367,Friedrichshain-Kreuzberg,31.7,17.4,29
2025-05-01,10369,Lichtenberg,23.2,15.3,22
2025-05-01,10369,Lichtenberg,19.7,24.8,25
2025-05-01,10405,Friedrichshain-Kreuzberg,29.6,17.4,27
2025-05-01,10405,Friedrichshain-Kreuzberg,25.5,18.7,25
2025-05-01,10405,Friedrichshain-Kreuzberg,20.1,17.7,21
2025-05-01,10407,Friedrichshain-Kreuzberg,26.4,15.4,24
2025-05-01,10407,Friedrichshain-Kreuzberg,18.6,17.6,20
2025-05-01,10407,Friedrichshain-Kreuzberg,33.5,16.0,29
2025-05-01,10409,Pankow,22.4,18.9,23
2025-05-01,10435,Mitte,29.3,24.7,31
2025-05-01,10435,Mitte,23.3,22.0,26
2025-05-01,10437,Mitte,26.8,22.1,28
2025-05-01,10437,Mitte,27.3,19.5,27
2025-05-01,10439,Mitte,21.1,23.1,25
2025-05-01,10439,Mitte,34.5,24.1,34
2025-05-01,10551,Mitte,31.2,24.6,32
2025-05-01,10553,Charlottenburg-Wilmersdorf,34.0,16.0,29
2025-05-01,10553,Charlottenburg-Wilmersdorf,33.2,23.8,33
2025-05-01,10555,Charlottenburg-Wilmersdorf,28.2,17.3,26
2025-05-01,10555,Charlottenburg-Wilmersdorf,33.7,19.0,31
2025-05-01,10557,Mitte,19.5,18.5,21
2025-05-01,10559,Mitte,21.3,21.8,24
2025-05-01,10585,Charlottenburg-Wilmersdorf,18.8,21.0,22
2025-05-01,10587,Charlottenburg-Wilmersdorf,23.5,16.1,23
2025-05-01,10587,Charlottenburg-Wilmersdorf,24.6,22.8,27
2025-05-01,10589,Charlottenburg-Wilmersdorf,22.6,19.4,24
2025-05-01,10589,Charlottenburg-Wilmersdorf,32.1,15.0,28
2025-05-01,10623,Charlottenburg-Wilmersdorf,24.1,19.1,25
2025-05-01,10623,Charlottenburg-Wilmersdorf,22.8,20.2,24
2025-05-01,10625,Charlottenburg-Wilmersdorf,27.2,15.7,25
2025-05-01,10627,Charlottenburg-Wilmersdorf,20.4,16.5,21
2025-05-01,10629,Charlottenburg-Wilmersdorf,31.6,24.9,32
2025-05-01,10707,Charlottenburg-Wilmersdorf,19.3,23.7,24
2025-05-01,10709,Charlottenburg-Wilmersdorf,34.8,16.3,30
2025-05-01,10711,Charlottenburg-Wilmersdorf,31.1,20.8,30
2025-05-01,10713,Charlottenburg-Wilmersdorf,21.4,18.8,23
2025-05-01,10715,Charlottenburg-Wilmersdorf,18.1,20.4,22
2025-05-01,10715,Charlottenburg-Wilmersdorf,31.9,19.7,30
2025-05-01,10717,Charlottenburg-Wilmersdorf,30.0,15.5,27
2025-05-01,10719,Charlottenburg-Wilmersdorf,30.4,18.2,28
2025-05-01,10777,Charlottenburg-Wilmersdorf,31.1,16.3,28
2025-05-01,10777,Charlottenburg-Wilmersdorf,19.3,19.9,22
2025-05-01,10779,Charlottenburg-Wilmersdorf,24.1,24.1,27
2025-05-01,10779,Charlottenburg-Wilmersdorf,20.0,25.0,25
2025-05-01,10781,Tempelhof-Schöneberg,32.7,24.4,33
2025-05-01,10783,Friedrichshain-Kreuzberg,28.6,24.9,30
2025-05-01,10783,Friedrichshain-Kreuzberg,23.6,15.2,22
