regional_code,area_name,population_2022,population_density_per_sqkm,postal_code
110000010101,Moabit,75771,7081,10101
110000010102,Märkisches Viertel,39341,5096,10102
110000010103,Hansaviertel,5629,10621,10103
110000010104,Tiergarten,13696,2649,10104
110000010105,Wedding,78099,8461,10105
110000010106,Gesundbrunnen,86701,14144,10106
110000020201,Friedrichshain,126291,12913,20201
110000020202,Köpenick,67140,6456,20202
110000030301,Prenzlauer Berg,159369,14488,30301
110000030302,Weißensee,54380,6858,30302
110000030303,Blankenburg,6705,1112,30303
110000030304,Heinersdorf,7623,1930,30304
110000030305,Karow,18926,2846,30305
110000030306,Stadtrandsiedlung Malchow,1078,190,30306
110000030307,Pankow,64557,11406,30307
110000030308,Blankenfelde,2013,150,30308
110000030309,Buch,16399,901,30309
110000030310,Französisch Buchholz,20858,1738,30310
110000030311,Niederschönhausen,31138,4798,30311
110000030312,Rosenthal,9674,1974,30312
110000030313,Wilhelmsruh,7676,5603,30313
110000040401,Charlottenburg,119191,11244,40401
110000040402,Wilmersdorf,94261,13165,40402
110000040403,Schmargendorf,22327,6219,40403
110000040404,Grünau,7391,331,40404
110000040405,Westend,38287,2836,40405
110000040406,Charlottenburg-Nord,17766,2865,40406
110000040407,Halensee,14595,11492,40407
110000050501,Spandau,37536,4674,50501
110000050502,Haselhorst,18049,3816,50502
110000050503,Siemensstadt,11594,2048,50503
110000050504,Staaken,44526,4085,50504
110000050505,Gatow,3431,340,50505
110000050506,Kladow,15906,1075,50506
110000050507,Hakenfelde,30903,1515,50507
110000050508,Falkenhagener Feld,37362,5431,50508
110000050509,Wilhelmstadt,38453,3697,50509
110000060601,Steglitz,71578,10542,60601
110000060602,Lichterfelde,81594,4483,60602
110000060603,Lankwitz,42291,6050,60603
110000060604,Zehlendorf,52876,2813,60604
110000060605,Dahlem,15919,1897,60605
110000060606,Nikolassee,11107,567,60606
110000060607,Wannsee,9760,412,60607
110000060608,Schlachtensee,10004,2470,60608
110000070701,Schöneberg,115670,10912,70701
110000070702,Friedenau,27090,16418,70702
110000070703,Tempelhof,57371,4703,70703
110000070704,Mariendorf,49993,5330,70704
110000070705,Marienfelde,30576,3342,70705
110000070706,Lichtenrade,50590,5009,70706
110000080801,Neukölln,150733,12883,80801
110000080802,Britz,40252,3246,80802
110000080803,Buckow,37718,5940,80803
110000080804,Rudow,40736,3452,80804
110000080805,Gropiusstadt,35584,13377,80805
110000090901,Altglienicke,29905,3790,90901
110000090902,Plänterwald,11118,3694,90902
110000090903,Baumschulenweg,18813,3903,90903
110000090904,Johannisthal,20224,3092,90904
110000090905,Niederschöneweide,12946,3709,90905
110000090906,Alt-Hohenschönhausen,48842,5235,90906
110000090907,Adlershof,19753,3233,90907
110000090908,Bohnsdorf,12310,1888,90908
110000090909,Oberschöneweide,23416,3789,90909
110000090910,Kreuzberg,137741,3947,90910
110000090911,Friedrichshagen,18425,1316,90911
110000090912,Rahnsdorf,10378,483,90912
110000090913,Grunewald,10576,1158,90913
110000090914,Müggelheim,6801,306,90914
110000090915,Schmöckwitz,4439,260,90915
110000101001,Mitte,97425,4996,01001
110000101002,Biesdorf,28894,2330,01002
110000101003,Kaulsdorf,18910,2146,01003
110000101004,Mahlsdorf,29531,2289,01004
110000101005,Hellersdorf,83175,10269,01005
110000111101,Friedrichsfelde,55137,9935,11101
110000111102,Karlshorst,27527,4171,11102
110000111103,Lichtenberg,39622,5488,11103
110000111104,Falkenberg,2891,945,11104
110000111106,Malchow,663,431,11106
110000111107,Wartenberg,2635,381,11107
110000111109,Neu-Hohenschönhausen,55279,10713,11109
110000111110,Alt-Treptow,12472,5399,11110
110000111111,Fennpfuhl,32389,15278,11111
110000111112,Rummelsburg,25551,5653,11112
110000121201,Reinickendorf,76495,7285,21201
110000121202,Tegel,35474,1053,21202
110000121203,Konradshöhe,5768,2622,21203
110000121204,Heiligensee,17506,1636,21204
110000121205,Frohnau,16430,2106,21205
110000121206,Hermsdorf,16429,2693,21206
110000121207,Waidmannslust,10506,4568,21207
110000121208,Lübars,4885,977,21208
110000121209,Wittenau,23435,3972,21209
110000121210,Marzahn,109498,34218,21210
110000121211,Borsigwalde,6676,3338,21211
