min_lst,max_lst,diff_lst
35,133,98
7,132,125
27,143,116
25,142,117
18,142,124
21,141,120
28,142,114
18,137,119
6,144,138
26,149,123
26,144,118
26,144,118
32,144,112
29,145,116
31,139,108
22,164,142
24,140,116
10,138,128
42,165,123
48,160,112
48,166,118
42,150,108
43,150,107
26,142,116
18,147,129
33,139,106
33,142,109
33,141,108
22,134,112
21,153,132
50,169,119
54,162,108
59,172,113
53,168,115
60,164,104
22,170,148
45,149,104
38,161,123
48,162,114
34,148,114
36,151,115
44,171,127
47,161,114
39,144,105
34,144,110
26,141,115
34,143,109
29,138,109
32,145,113
27,134,107
41,175,134
44,187,143
62,194,132
59,177,118
58,168,110
67,166,99
66,176,110
57,160,103
33,160,127
57,164,107
50,180,130
45,154,109
34,164,130
47,148,101
37,161,124
34,150,116
35,149,114
17,161,144
14,144,130
35,146,111
10,157,147
27,140,113
33,153,120
13,151,138
20,138,118
26,128,102
29,134,105
16,134,118
50,175,125
57,171,114
51,173,122
60,172,112
54,171,117
57,172,115
55,184,129
68,180,112
65,188,123
60,175,115
57,175,118
54,173,119
33,172,139
55,173,118
47,164,117
53,158,105
52,196,144
46,164,118
32,167,135
41,158,117
34,150,116
40,162,122
31,158,127
29,142,113
27,138,111
25,142,117
17,136,119
18,157,139
32,140,108
15,147,132
34,143,109
32,146,114
31,141,110
17,147,130
28,142,114
32,143,111
28,162,134
29,171,142
53,164,111
46,166,120
60,166,106
65,170,105
51,176,125
56,194,138
61,180,119
56,189,133
57,175,118
77,179,102
60,187,127
66,183,117
78,189,111
74,178,104
58,196,138
69,188,119
62,178,116
62,176,114
60,173,113
60,181,121
56,159,103
59,158,99
54,163,109
49,166,117
49,160,111
47,162,115
38,169,131
43,149,106
32,163,131
32,149,117
30,152,122
31,149,118
41,153,112
33,154,121
40,145,105
18,138,120
25,147,122
22,135,113
11,143,132
28,149,121
29,139,110
27,140,113
37,166,129
35,147,112
25,149,124
17,161,144
44,146,102
38,156,118
43,173,130
52,169,117
49,162,113
53,179,126
39,183,144
67,176,109
48,172,124
32,176,144
63,180,117
74,188,114
74,184,110
64,180,116
61,179,118
61,178,117
74,183,109
68,189,121
83,205,122
82,198,116
