priority_rank,plz,area_name,urban_heat_risk_index,risk_category,district_type,temperature_change,population_2022,population_density_per_sqkm,pollution_index,no2_avg,pm10_avg,traffic_supply_index,heat_exposure_index,vulnerable_population_score
1,21210,Marzahn,86.48,High Risk,Urban Core (High Density),8.0,109498,34218,0.34,21.06,18.7,0.0,273.67,92946.23
2,50505,Gatow,43.88,Moderate Risk,Suburban (Low Density),4.34,3431,340,0.34,21.06,18.7,0.0,1.48,501.53
3,40404,Grünau,43.68,Moderate Risk,Suburban (Low Density),4.34,7391,331,0.34,21.06,18.7,0.0,1.44,488.14
4,11104,Falkenberg,43.29,Moderate Risk,Suburban (Low Density),4.41,2891,945,0.34,21.06,18.7,0.0,4.17,1414.9
5,30306,Stadtrandsiedlung Malchow,43.28,Moderate Risk,Suburban (Low Density),4.33,1078,190,0.34,21.06,18.7,0.0,0.82,279.22
6,90914,Müggelheim,43.24,Moderate Risk,Suburban (Low Density),4.34,6801,306,0.34,21.06,18.7,0.0,1.33,450.99
7,21202,Tegel,42.75,Moderate Risk,Suburban (Low Density),4.42,35474,1053,0.34,21.06,18.7,0.0,4.65,1580.76
8,60607,Wannsee,42.07,Moderate Risk,Suburban (Low Density),4.35,9760,412,0.34,21.06,18.7,0.0,1.79,608.82
9,11106,Malchow,41.6,Moderate Risk,Suburban (Low Density),4.35,663,431,0.34,21.06,18.7,0.0,1.88,637.2
10,30308,Blankenfelde,41.49,Moderate Risk,Suburban (Low Density),4.32,2013,150,0.34,21.06,18.7,0.0,0.65,220.22
11,50507,Hakenfelde,40.92,Moderate Risk,Suburban (Low Density),4.47,30903,1515,0.34,21.06,18.7,0.0,6.77,2299.96
12,90915,Schmöckwitz,40.86,Moderate Risk,Suburban (Low Density),4.33,4439,260,0.34,21.06,18.7,0.0,1.13,382.76
13,11107,Wartenberg,40.45,Moderate Risk,Suburban (Low Density),4.35,2635,381,0.34,21.06,18.7,0.0,1.66,562.58
14,30312,Rosenthal,40.38,Moderate Risk,Suburban (Low Density),4.52,9674,1974,0.34,21.06,18.7,0.0,8.92,3029.98
15,90912,Rahnsdorf,40.31,Moderate Risk,Suburban (Low Density),4.36,10378,483,0.34,21.06,18.7,0.0,2.11,714.99
16,30303,Blankenburg,39.68,Moderate Risk,Suburban (Low Density),4.43,6705,1112,0.34,21.06,18.7,0.0,4.92,1671.74
17,21208,Lübars,39.43,Moderate Risk,Suburban (Low Density),4.41,4885,977,0.34,21.06,18.7,0.0,4.31,1463.95
18,60606,Nikolassee,38.6,Moderate Risk,Suburban (Low Density),4.37,11107,567,0.34,21.06,18.7,0.0,2.48,841.08
19,90911,Friedrichshagen,38.54,Moderate Risk,Suburban (Low Density),4.45,18425,1316,0.34,21.06,18.7,0.0,5.85,1988.26
20,50506,Kladow,38.35,Moderate Risk,Suburban (Low Density),4.42,15906,1075,0.34,21.06,18.7,0.0,4.75,1614.66
21,01002,Biesdorf,38.19,Moderate Risk,Suburban (Low Density),4.56,28894,2330,0.34,21.06,18.7,0.0,10.62,3606.81
22,30304,Heinersdorf,37.83,Moderate Risk,Suburban (Low Density),4.51,7623,1930,0.34,21.06,18.7,0.0,8.71,2959.33
23,50503,Siemensstadt,37.07,Moderate Risk,Suburban (Low Density),4.53,11594,2048,0.34,21.06,18.7,0.0,9.27,3149.12
24,01004,Mahlsdorf,36.92,Moderate Risk,Suburban (Low Density),4.55,29531,2289,0.34,21.06,18.7,0.0,10.42,3539.9
25,90913,Grunewald,36.84,Moderate Risk,Suburban (Low Density),4.43,10576,1158,0.34,21.06,18.7,0.0,5.13,1742.85
26,90908,Bohnsdorf,36.66,Moderate Risk,Suburban (Low Density),4.51,12310,1888,0.34,21.06,18.7,0.0,8.52,2892.03
27,21204,Heiligensee,36.55,Moderate Risk,Suburban (Low Density),4.48,17506,1636,0.34,21.06,18.7,0.0,7.33,2490.91
28,10104,Tiergarten,36.15,Moderate Risk,Suburban (Low Density),4.59,13696,2649,0.34,21.06,18.7,0.0,12.16,4131.58
29,21203,Konradshöhe,36.14,Moderate Risk,Suburban (Low Density),4.59,5768,2622,0.34,21.06,18.7,0.0,12.03,4086.87
30,60605,Dahlem,35.96,Moderate Risk,Suburban (Low Density),4.51,15919,1897,0.34,21.06,18.7,0.0,8.56,2906.44
31,30309,Buch,35.9,Moderate Risk,Suburban (Low Density),4.4,16399,901,0.34,21.06,18.7,0.0,3.97,1347.56
32,30310,Französisch Buchholz,35.52,Moderate Risk,Suburban (Low Density),4.49,20858,1738,0.34,21.06,18.7,0.0,7.81,2652.71
33,90907,Adlershof,35.17,Moderate Risk,Suburban (Low Density),4.66,19753,3233,0.34,21.06,18.7,0.0,15.05,5111.6
34,21205,Frohnau,35.07,Moderate Risk,Suburban (Low Density),4.53,16430,2106,0.34,21.06,18.7,0.0,9.55,3242.78
35,01003,Kaulsdorf,35.0,Moderate Risk,Suburban (Low Density),4.54,18910,2146,0.34,21.06,18.7,0.0,9.74,3307.51
