time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2024-05-01,24.9,14.6,0.0,2024-05-01,2024,5
2024-05-02,24.2,14.9,0.0,2024-05-02,2024,5
2024-05-03,22.4,13.9,1.6,2024-05-03,2024,5
2024-05-04,19.0,10.9,0.0,2024-05-04,2024,5
2024-05-05,19.0,11.2,8.7,2024-05-05,2024,5
2024-05-06,18.5,8.4,0.0,2024-05-06,2024,5
2024-05-07,15.8,8.3,0.3,2024-05-07,2024,5
2024-05-08,17.6,8.4,0.0,2024-05-08,2024,5
2024-05-09,18.7,5.1,0.0,2024-05-09,2024,5
2024-05-10,20.9,9.8,0.0,2024-05-10,2024,5
2024-05-11,19.2,10.9,0.3,2024-05-11,2024,5
2024-05-12,20.0,9.3,0.0,2024-05-12,2024,5
2024-05-13,22.7,10.0,0.0,2024-05-13,2024,5
2024-05-14,24.0,11.9,0.0,2024-05-14,2024,5
2024-05-15,25.6,14.3,0.0,2024-05-15,2024,5
2024-05-16,25.5,14.8,0.0,2024-05-16,2024,5
2024-05-17,24.8,15.6,0.0,2024-05-17,2024,5
2024-05-18,20.8,12.7,0.4,2024-05-18,2024,5
2024-05-19,20.6,10.6,10.9,2024-05-19,2024,5
2024-05-20,19.8,11.2,11.9,2024-05-20,2024,5
2024-05-21,25.5,12.9,0.2,2024-05-21,2024,5
2024-05-22,25.5,15.9,11.8,2024-05-22,2024,5
2024-05-23,21.6,14.8,1.5,2024-05-23,2024,5
2024-05-24,23.1,13.9,9.7,2024-05-24,2024,5
2024-05-25,22.7,15.1,6.0,2024-05-25,2024,5
2024-05-26,23.6,13.8,0.2,2024-05-26,2024,5
2024-05-27,22.5,15.6,9.4,2024-05-27,2024,5
2024-05-28,17.9,11.2,10.6,2024-05-28,2024,5
2024-05-29,21.8,10.4,0.2,2024-05-29,2024,5
2024-05-30,21.0,13.1,9.7,2024-05-30,2024,5
2024-05-31,22.3,13.4,0.1,2024-05-31,2024,5
2024-06-01,24.5,15.0,0.4,2024-06-01,2024,6
2024-06-02,22.0,15.6,9.2,2024-06-02,2024,6
2024-06-03,17.4,12.9,0.2,2024-06-03,2024,6
2024-06-04,19.0,13.4,0.3,2024-06-04,2024,6
2024-06-05,20.2,11.9,2.3,2024-06-05,2024,6
2024-06-06,19.4,11.1,0.0,2024-06-06,2024,6
2024-06-07,19.5,11.7,0.2,2024-06-07,2024,6
2024-06-08,23.6,8.8,0.0,2024-06-08,2024,6
2024-06-09,20.7,10.4,0.0,2024-06-09,2024,6
2024-06-10,18.4,9.4,2.4,2024-06-10,2024,6
2024-06-11,17.0,10.1,2.2,2024-06-11,2024,6
2024-06-12,16.6,8.9,0.3,2024-06-12,2024,6
2024-06-13,17.4,8.1,0.4,2024-06-13,2024,6
2024-06-14,18.5,9.8,1.1,2024-06-14,2024,6
2024-06-15,21.7,12.4,2.8,2024-06-15,2024,6
2024-06-16,23.0,10.1,0.3,2024-06-16,2024,6
2024-06-17,24.0,14.2,1.8,2024-06-17,2024,6
2024-06-18,26.0,12.6,5.8,2024-06-18,2024,6
2024-06-19,19.5,12.3,1.9,2024-06-19,2024,6
2024-06-20,22.1,10.1,0.0,2024-06-20,2024,6
